geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.8175522057110846,4,50
2,0.9363784444120996,9,100
3,0.9487080015823308,13,150
4,0.9626476611268909,20,200
5,0.9763461619540387,29,250
6,0.98098807778155,33,300
7,0.9879463248964342,41,350
8,0.9916613262691384,40,400
9,0.9997968905637855,43,450
10,1.000613515054754,50,500
11,1.002874548747654,50,550
12,1.016751924018726,50,600
13,1.0189158168959838,50,650
14,1.0198212360181018,50,700
15,1.0249439737546555,49,750
16,1.0276202877687683,50,800
17,1.0293866718543514,50,850
18,1.0292562077220033,50,900
19,1.0309758064765966,50,950
20,1.032065437734422,50,1000
21,1.0332828082528425,50,1050
22,1.0361153339239837,50,1100
23,1.0369897345638657,50,1150
24,1.037294559500743,50,1200
25,1.0375194263490848,50,1250
26,1.0378262912532146,50,1300
27,1.0378668593902753,50,1350
28,1.0385387392656615,50,1400
29,1.0396294179965013,50,1450
30,1.0400469717843548,50,1500
31,1.0404488429961922,50,1550
32,1.0406478697184667,50,1600
33,1.040989100973641,50,1650
34,1.0418724536463653,50,1700
35,1.0426216987120098,50,1750
36,1.0428369563380107,50,1800
37,1.0434868153151056,50,1850
38,1.0438850628090526,50,1900
39,1.043357264946455,50,1950
40,1.0435294216469235,50,2000
41,1.0438280893098826,50,2050
42,1.0436494907917508,50,2100
43,1.0436666011915483,50,2150
44,1.043924010968251,50,2200
45,1.0440149344463157,50,2250
46,1.0437828879038704,50,2300
47,1.0442740523087646,50,2350
48,1.0447048163685397,50,2400
49,1.0443454425070973,50,2450
50,1.0437583948975893,50,2500
51,1.0438057044605131,50,2550
52,1.0440027709536548,50,2600
53,1.0445050913528655,50,2650
54,1.0448468699580953,50,2700
55,1.0448500896716708,50,2750
56,1.0451935503862617,50,2800
57,1.0445652943048935,50,2850
58,1.044667577320194,50,2900
59,1.044980748587244,50,2950
60,1.045038549793999,50,3000
61,1.0449475927366156,50,3050
62,1.044892423507393,50,3100
63,1.0443203394242735,50,3150
64,1.0455229509576682,50,3200
65,1.0452469889994134,50,3250
66,1.0452768121922495,50,3300
67,1.0450621908787594,50,3350
68,1.0443949630162264,50,3400
69,1.0441962681243135,50,3450
70,1.0444607884410988,50,3500
71,1.0444480987335438,50,3550
72,1.0442582888766245,50,3600
73,1.0449187688409791,50,3650
74,1.0455107433469144,50,3700
75,1.0456177155248334,50,3750
76,1.0457889492298515,50,3800
77,1.046193853600103,50,3850
78,1.0460599844748193,50,3900
79,1.0460138574418303,50,3950
80,1.045890663051184,50,4000
81,1.0463653406506643,50,4050
82,1.046374392720111,50,4100
83,1.04607692502002,50,4150
84,1.0466756215127464,50,4200
85,1.0464567316230808,50,4250
86,1.0464356912318955,50,4300
87,1.0463299281634817,50,4350
88,1.046303694711456,50,4400
89,1.0463637895813247,50,4450
90,1.0460977903019146,50,4500
91,1.046048939935655,50,4550
92,1.0459531132392743,50,4600
93,1.046056228932126,50,4650
94,1.045608310893161,50,4700
95,1.0458114096389133,50,4750
96,1.0458548356018826,50,4800
97,1.0461192591686903,50,4850
98,1.0458298743108807,50,4900
99,1.0463440955313883,50,4950
100,1.0460658891969552,50,5000
101,1.0463606756967476,50,5050
102,1.0463069257662558,50,5100
103,1.046610184836262,50,5150
104,1.0469415906652022,50,5200
105,1.0472512101929248,50,5250
106,1.0471842983923199,50,5300
107,1.0473296122780877,50,5350
108,1.047250568781606,50,5400
109,1.0468558858868457,50,5450
110,1.046984911277269,50,5500
111,1.0472456737819968,50,5550
112,1.0469946607422307,50,5600
113,1.0473918258394428,50,5650
114,1.047701962118275,50,5700
115,1.0478193545614058,50,5750
116,1.0480548793056494,50,5800
117,1.0477322541429082,50,5850
118,1.0477153704999391,50,5900
119,1.0478469538168749,50,5950
120,1.0478756980402648,50,6000
121,1.048190997836979,50,6050
122,1.04812652381502,50,6100
123,1.0479796533212227,50,6150
124,1.0479617727781958,50,6200
125,1.0482646914030447,50,6250
126,1.0483939799533857,50,6300
127,1.0482197524373145,50,6350
128,1.0478771919446275,50,6400
129,1.0476659782680264,50,6450
130,1.0481512482507844,50,6500
131,1.0479961542897032,50,6550
132,1.0481356578583252,50,6600
133,1.0478362278718139,50,6650
134,1.0475461687091738,50,6700
135,1.0473830628813294,50,6750
136,1.0477278702085566,50,6800
137,1.047992441772422,50,6850
138,1.0478076729384114,50,6900
139,1.0478522969234239,50,6950
140,1.0474423536452464,50,7000
141,1.0474911811678589,50,7050
142,1.0473249978057668,50,7100
143,1.0479998790443028,50,7150
144,1.0477633705738545,50,7200
145,1.0480420129968095,50,7250
146,1.0480399036279275,50,7300
147,1.047841806999376,50,7350
148,1.0483012853942204,50,7400
149,1.0485248438793422,50,7450
150,1.0488019712895102,50,7500
151,1.04866532756747,50,7550
152,1.0483793272302395,50,7600
153,1.0479997724670755,50,7650
154,1.0478767583503912,50,7700
155,1.0480790011940595,50,7750
156,1.0481826862987869,50,7800
157,1.0481330737578047,50,7850
158,1.047967918715168,50,7900
159,1.0480680432614724,50,7950
160,1.0478939482215188,50,8000
161,1.0479143823052501,50,8050
162,1.0479833449356302,50,8100
163,1.0478029395013417,50,8150
164,1.0477135960878488,50,8200
165,1.0474873432583338,50,8250
166,1.0481087021753956,50,8300
167,1.0483514995217789,50,8350
168,1.048526434609519,50,8400
