geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.8432986699177688,10,50
2,0.9004728899954139,12,100
3,0.9334274857118815,16,150
4,0.9474326465326788,29,200
5,0.9523929014197092,26,250
6,0.9562919367624488,33,300
7,0.9642151298212367,42,350
8,0.9708839840317299,50,400
9,0.9731761824610935,50,450
10,0.975565785101984,50,500
11,0.9764543714360845,50,550
12,0.9775357270133077,50,600
13,0.9787031422358872,50,650
14,0.9808154592056108,50,700
15,0.9842436339395817,50,750
16,0.9847814706622599,50,800
17,0.9882313852690691,50,850
18,0.9894240441182715,50,900
19,0.9930733032715111,50,950
20,0.993779386723524,50,1000
21,0.9936750867573497,50,1050
22,0.994526293647585,50,1100
23,0.999564147803304,50,1150
24,0.9995742398836929,50,1200
25,1.0001255255939119,50,1250
26,1.000453276784352,50,1300
27,1.0004064008447315,50,1350
28,1.0014162155101751,50,1400
29,1.002157245589705,50,1450
30,1.0033258348205312,50,1500
31,1.0046502544245333,50,1550
32,1.0047234957742308,50,1600
33,1.0048096831412263,50,1650
34,1.0051154056911653,50,1700
35,1.0050164401208035,50,1750
36,1.0054179715351699,50,1800
37,1.0060996635133421,50,1850
38,1.0059260636039273,50,1900
39,1.005365216244819,50,1950
40,1.0060846969908286,50,2000
41,1.006529927960296,50,2050
42,1.0066902891263403,50,2100
43,1.0070778072730961,50,2150
44,1.0091826822980603,50,2200
45,1.009873956559319,50,2250
46,1.0097292656197578,50,2300
47,1.0100046456734721,50,2350
48,1.0109078738764077,50,2400
49,1.0109030646146726,50,2450
50,1.0117696439291064,50,2500
51,1.0126158655157786,50,2550
52,1.0126349966835673,50,2600
53,1.0126087812129085,50,2650
54,1.0125426296932445,50,2700
55,1.0129987129392384,50,2750
56,1.0133028439645155,50,2800
57,1.013445895911504,50,2850
58,1.0133474167649337,50,2900
59,1.012553688362337,50,2950
60,1.012554756197908,50,3000
61,1.0133767810505452,50,3050
62,1.0132584746364601,50,3100
63,1.0135780932699223,50,3150
64,1.0140925615113474,50,3200
65,1.0145702377075188,50,3250
66,1.0144142116461368,50,3300
67,1.0147695966338537,50,3350
68,1.0151837382313273,50,3400
69,1.0153088240382941,50,3450
70,1.0151913895369726,50,3500
71,1.014819361060073,50,3550
72,1.014564944116262,50,3600
73,1.0145837045855106,50,3650
74,1.0139215843254115,50,3700
75,1.01352036746153,50,3750
76,1.0139818752189846,50,3800
77,1.0145652358111046,50,3850
78,1.015186659285833,50,3900
79,1.015144681197713,50,3950
80,1.0147468685328138,50,4000
81,1.0148479897791307,50,4050
82,1.0157126553374891,50,4100
83,1.016586169153351,50,4150
84,1.016706270237333,50,4200
85,1.0174979148890004,50,4250
86,1.0175324228381308,50,4300
87,1.0180414768069885,50,4350
88,1.0182083616460726,50,4400
89,1.0186474443834728,50,4450
90,1.0181746163776235,50,4500
91,1.0177897842412518,50,4550
92,1.0176868237891648,50,4600
93,1.0179145051105234,50,4650
94,1.018110675117733,50,4700
95,1.0182924084720448,50,4750
96,1.0189275583703763,50,4800
97,1.0185905237119102,50,4850
98,1.0192156308543316,50,4900
99,1.0188684894020295,50,4950
100,1.0188170767400175,50,5000
101,1.0194196223469223,50,5050
102,1.0197547308063473,50,5100
103,1.0196588643535571,50,5150
104,1.0201117788943261,50,5200
105,1.020113260255348,50,5250
106,1.0197960171910676,50,5300
107,1.0191305437088392,50,5350
108,1.0189652751832394,50,5400
