geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.8641055955089479,13,50
2,0.8761002700848453,18,100
3,0.8805907651776385,22,150
4,0.8836887811034021,26,200
5,0.9025696327586687,32,250
6,0.9103414611995497,30,300
7,0.9165106967581802,32,350
8,0.9264706246426364,36,400
9,0.9334771867488523,46,450
10,0.9369360124259405,50,500
11,0.9400299310120594,50,550
12,0.9459721953972111,48,600
13,0.949078802245026,50,650
14,0.9534273346927772,47,700
15,0.9575094857772638,50,750
16,0.961036790595141,50,800
17,0.9615491537302869,50,850
18,0.9627446732135126,50,900
19,0.963385975687972,50,950
20,0.9661043021330256,50,1000
21,0.9671559556149356,50,1050
22,0.9685455118608722,50,1100
23,0.9694122451010867,50,1150
24,0.9712499484845311,50,1200
25,0.9723976382838876,50,1250
26,0.9744571486228069,50,1300
27,0.9749442236147187,50,1350
28,0.9757615822277826,50,1400
29,0.9771562117927791,50,1450
30,0.9781103578202035,50,1500
31,0.9788793881622307,50,1550
32,0.9809653023306903,50,1600
33,0.9819816506574621,50,1650
34,0.9825148601484038,50,1700
35,0.9826338755426004,50,1750
36,0.9835757579336578,50,1800
37,0.9844485854889384,50,1850
38,0.9855306042032762,50,1900
39,0.9872925373380109,50,1950
40,0.9876541035495445,50,2000
41,0.9891807963510605,50,2050
42,0.9894054035877301,50,2100
43,0.9896341327837748,50,2150
44,0.9899712236821072,50,2200
45,0.9899347997914812,50,2250
46,0.9898642906021214,50,2300
47,0.9900797107944707,50,2350
48,0.9906649316225588,50,2400
49,0.9909708225205279,50,2450
50,0.9907999980606612,50,2500
51,0.9909325358022789,50,2550
52,0.9905274898534492,50,2600
53,0.9907668874844534,50,2650
54,0.9900336271643777,50,2700
55,0.9907787463000177,50,2750
56,0.9918810118589616,50,2800
57,0.9922507096187734,50,2850
58,0.9928350461618014,50,2900
59,0.9927386923495789,50,2950
60,0.992620583812834,50,3000
61,0.9924641788069105,50,3050
62,0.9918274034944553,50,3100
63,0.9929602722331384,50,3150
64,0.9920969989054215,50,3200
65,0.9920860667937718,50,3250
66,0.993379855635214,50,3300
67,0.9934236956145164,50,3350
68,0.9938019033181011,50,3400
69,0.9942996709314795,50,3450
70,0.9948575289191361,50,3500
71,0.9948206363175263,50,3550
72,0.9950724810836125,50,3600
73,0.9948340148696286,50,3650
74,0.9948985787651935,50,3700
75,0.9947073151499979,50,3750
76,0.9956960124475992,50,3800
77,0.9958257410738585,50,3850
78,0.996343730473246,50,3900
79,0.9967981563200331,50,3950
80,0.9965793091513315,50,4000
81,0.997320427754674,50,4050
82,0.9975465167606618,50,4100
83,0.9978433888728057,50,4150
84,0.9981880968497776,50,4200
85,0.9982568637291618,50,4250
86,0.9980453654320365,50,4300
87,0.9982590380097653,50,4350
88,0.9980080858278264,50,4400
89,0.9985587443191862,50,4450
90,0.9996082675326975,50,4500
91,0.9995933341735794,50,4550
92,1.0004029597089295,50,4600
93,1.0001049150515833,50,4650
94,1.0000982195245398,50,4700
95,1.00078173596053,50,4750
96,1.0004845098795774,50,4800
97,1.000378809707762,50,4850
98,1.0006470104656868,50,4900
99,1.0012792402045505,50,4950
100,1.00007440956941,50,5000
101,1.0013989094369287,50,5050
102,1.0001988894981308,50,5100
103,1.000084293533424,50,5150
104,0.9998782074508171,50,5200
105,1.0003281389564511,50,5250
106,1.0009156753975383,50,5300
107,1.0014101593534295,50,5350
108,1.0012317808805238,50,5400
109,1.0016791829099514,50,5450
110,1.0019685893563777,50,5500
111,1.0023480606861517,50,5550
112,1.0026332375028473,50,5600
113,1.0030842067828862,50,5650
114,1.0025083000182802,50,5700
115,1.00248231677965,50,5750
116,1.0024017682008903,50,5800
117,1.002219141623502,50,5850
118,1.0028964025676603,50,5900
119,1.0032063322486071,50,5950
120,1.0034511320839912,50,6000
121,1.0039429380426963,50,6050
122,1.0039582084561,50,6100
123,1.003403155717495,50,6150
124,1.0035333418838908,50,6200
125,1.0027919759237578,50,6250
126,1.002806891156904,50,6300
127,1.00238411835359,50,6350
128,1.002588971128233,50,6400
129,1.0027308072391319,50,6450
130,1.0029758125527808,50,6500
131,1.0016813533118165,50,6550
132,1.0017174288183561,50,6600
133,1.0023557886996426,50,6650
134,1.0024273889625759,50,6700
135,1.0028618815218298,50,6750
136,1.002838521581564,50,6800
137,1.0027675192313446,50,6850
138,1.0022114625422327,50,6900
139,1.0023335318291096,50,6950
140,1.0025352099916816,50,7000
141,1.0024317031547738,50,7050
142,1.0029482596567836,50,7100
143,1.0027509797053202,50,7150
144,1.0027897764134965,50,7200
145,1.0026323581701537,50,7250
146,1.002827026439394,50,7300
147,1.0028750157645547,50,7350
148,1.0028216944041477,50,7400
149,1.0029626788284554,50,7450
150,1.0032440573315704,50,7500
151,1.0036411950892563,50,7550
152,1.0040713168075723,50,7600
153,1.0040663140754122,50,7650
154,1.0038732364085028,50,7700
155,1.0036333155470067,50,7750
156,1.0035064762980945,50,7800
157,1.0036222069826877,50,7850
158,1.003138744380818,50,7900
159,1.0031279618101638,50,7950
160,1.003613560648974,50,8000
161,1.003360292876743,50,8050
162,1.0031090031983005,50,8100
163,1.003513559346461,50,8150
164,1.0034861207503554,50,8200
165,1.0034044173832724,50,8250
166,1.0021812060856647,50,8300
167,1.001956964450225,50,8350
168,1.002041988458578,50,8400
169,1.0022781837164967,50,8450
170,1.00204627237326,50,8500
171,1.0012162015823134,50,8550
172,1.0016691953305183,50,8600
173,1.0014374329841438,50,8650
174,1.0016094106852602,50,8700
175,1.001631461087793,50,8750
176,1.0020544508153595,50,8800
177,1.0026415026498108,50,8850
178,1.0029667068212886,50,8900
179,1.0030288063755417,50,8950
180,1.0032189439058448,50,9000
181,1.0031916223666328,50,9050
182,1.0035438558770278,50,9100
183,1.003408267405996,50,9150
184,1.0038105311395704,50,9200
185,1.0033772965540793,50,9250
186,1.0031649851344355,50,9300
187,1.003389739678497,50,9350
188,1.0033603252646692,50,9400
189,1.003511121024225,50,9450
190,1.0036534404027537,50,9500
191,1.0037640353611006,50,9550
192,1.003752808084101,50,9600
193,1.0035889923620147,50,9650
194,1.003505328422919,50,9700
195,1.0035904939601572,50,9750
196,1.0041717922237903,50,9800
197,1.0047286866495622,50,9850
198,1.0042586055736082,50,9900
199,1.0040709663345568,50,9950
200,1.0042439393416647,50,10000
201,1.004128872735452,50,10050
202,1.0042264202314208,50,10100
203,1.0042106301167948,50,10150
204,1.0041037087718028,50,10200
205,1.0041167872304861,50,10250
206,1.003838981873564,50,10300
207,1.0031983673724818,50,10350
208,1.0036169414346467,50,10400
209,1.003577646107875,50,10450
210,1.003339070060218,50,10500
211,1.0035738086223653,50,10550
212,1.0037085164683939,50,10600
213,1.0035754374955064,50,10650
214,1.0035592712242984,50,10700
215,1.0038635389173036,50,10750
216,1.003418531712124,50,10800
217,1.0030132573822101,50,10850
218,1.003185738586555,50,10900
219,1.0033931788332824,50,10950
220,1.0030532256154068,50,11000
221,1.002954297940593,50,11050
222,1.0033993668074714,50,11100
223,1.0030958685433942,50,11150
224,1.0031425180172502,50,11200
225,1.0032307310520596,50,11250
226,1.002728663229554,50,11300
227,1.002220360677187,50,11350
228,1.0022793049248382,50,11400
229,1.0020229064492128,50,11450
230,1.0026157997078533,50,11500
231,1.0017047982648986,50,11550
232,1.002021091291263,50,11600
233,1.0021452536499327,50,11650
234,1.0023190912368636,50,11700
235,1.002972357839193,50,11750
236,1.003386188712813,50,11800
237,1.0032592871896848,50,11850
238,1.0035998764958542,50,11900
239,1.0028882555972478,50,11950
240,1.0032462406151916,50,12000
241,1.0032413391169794,50,12050
242,1.0033966201793956,50,12100
243,1.0031249936982267,50,12150
244,1.0023756204934846,50,12200
245,1.0023182913466067,50,12250
246,1.0021405120503248,50,12300
247,1.0024508359105897,50,12350
248,1.0031952854626212,50,12400
249,1.0032451081470108,50,12450
250,1.0034924098211158,50,12500
251,1.0033292466075991,50,12550
