geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.9369630058523207,12,50
2,0.9609335591227868,14,100
3,0.9923563790781833,24,150
4,0.996772567114201,30,200
5,1.007781541166289,33,250
6,1.0097598968078099,40,300
7,1.0139368084848803,40,350
8,1.0185487566551454,48,400
9,1.020799628716645,47,450
10,1.0240660687752374,49,500
11,1.0265899755266832,50,550
12,1.036011323291535,50,600
13,1.0377693896207014,50,650
14,1.0461797794450172,50,700
15,1.0493896003399525,50,750
16,1.0495368660920257,50,800
17,1.050229985110597,50,850
18,1.0501707933640085,50,900
19,1.05692009152357,50,950
20,1.0588329993409418,50,1000
21,1.0651120548063036,50,1050
22,1.0663303793278167,50,1100
23,1.0665638266999686,50,1150
24,1.067762092451001,50,1200
25,1.068232731226238,50,1250
26,1.0684876365335076,50,1300
27,1.0688246484080701,50,1350
28,1.068811583209009,50,1400
29,1.0687041463862819,50,1450
30,1.0687221998488816,50,1500
31,1.0686990432448678,50,1550
32,1.0719012674207515,50,1600
33,1.0730141419095927,50,1650
34,1.0733215854155478,50,1700
35,1.0738032252088903,50,1750
36,1.0747305959885967,50,1800
37,1.0751423450780644,50,1850
38,1.0756799297915414,50,1900
39,1.0756430671870911,50,1950
40,1.0774042183608563,50,2000
41,1.0774868581324508,50,2050
42,1.0782243217717722,50,2100
43,1.0779299604306685,50,2150
44,1.0782140975519061,50,2200
45,1.0784065063438342,50,2250
46,1.078421570291492,50,2300
47,1.0782848737388158,50,2350
48,1.0783075969438114,50,2400
49,1.078061081559249,50,2450
50,1.0781356888891582,50,2500
51,1.0792086123624711,50,2550
52,1.079176967824021,50,2600
53,1.0793095098332939,50,2650
54,1.0798716607401813,50,2700
55,1.0797259356202455,50,2750
56,1.07978387408286,50,2800
57,1.0804190866217085,50,2850
58,1.0800518468223208,50,2900
59,1.0798581987263272,50,2950
60,1.08008657612735,50,3000
61,1.079989515473394,50,3050
62,1.080150536825616,50,3100
63,1.0804559110730385,50,3150
64,1.080972100337665,50,3200
65,1.0808855455822648,50,3250
66,1.0808294389305402,50,3300
67,1.0806464942915608,50,3350
68,1.0806026865046994,50,3400
69,1.0805738780484673,50,3450
70,1.080265457844641,50,3500
71,1.0803871283351534,50,3550
72,1.0809732228752027,50,3600
73,1.0810073533126776,50,3650
74,1.0809505867227769,50,3700
75,1.0809415121181634,50,3750
76,1.0811543226429716,50,3800
77,1.0815706911516196,50,3850
78,1.0810637182386629,50,3900
79,1.0811512818172777,50,3950
80,1.0815469572979024,50,4000
81,1.0815598960009163,50,4050
82,1.0815460483417143,50,4100
83,1.0816001590734559,50,4150
84,1.0818109820547865,50,4200
85,1.0818924000731205,50,4250
86,1.0826488969575667,50,4300
87,1.0826374933048686,50,4350
88,1.082569724978562,50,4400
89,1.0826037963325945,50,4450
90,1.0822885284956154,50,4500
91,1.082181808035425,50,4550
92,1.0824690783247806,50,4600
93,1.0825930092335003,50,4650
94,1.0823847040609198,50,4700
95,1.0820995595262863,50,4750
96,1.082055210619293,50,4800
97,1.0819008531065848,50,4850
98,1.082334944155006,50,4900
99,1.0825720232072369,50,4950
100,1.0824787992226346,50,5000
101,1.0820960660025687,50,5050
102,1.0822800882423405,50,5100
103,1.0827878324629208,50,5150
104,1.0823747778252921,50,5200
105,1.0822822583740408,50,5250
106,1.0823155630416295,50,5300
107,1.0814562800301286,50,5350
108,1.0816658000241681,50,5400
109,1.0816566727277033,50,5450
110,1.0818716802994923,50,5500
111,1.081781613025351,50,5550
112,1.0817907411608818,50,5600
113,1.082279093806361,50,5650
114,1.0822564179091514,50,5700
115,1.082551196927262,50,5750
116,1.0826167827204043,50,5800
117,1.0820035746721723,50,5850
118,1.0825000820695099,50,5900
119,1.0823745177267288,50,5950
