geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.7271286839211939,8,50
2,0.7798484209964577,15,100
3,0.7970504340076967,27,150
4,0.8099079978326345,31,200
5,0.8168427269515719,35,250
6,0.8225553147939594,43,300
7,0.8323519383181484,49,350
8,0.8404575100677404,50,400
9,0.8424512764470706,50,450
10,0.8509745992737822,50,500
11,0.8572159986610722,50,550
12,0.8621297555125637,50,600
13,0.8692380119457613,50,650
14,0.8705059261777811,50,700
15,0.8747609509408919,50,750
16,0.8766723841347984,50,800
17,0.8795631634275932,50,850
18,0.8827569950521917,50,900
19,0.8841782674042413,50,950
20,0.8899625108495797,50,1000
21,0.8937891050174236,50,1050
22,0.8943190055270736,50,1100
23,0.8953440520938953,50,1150
24,0.8979605937784063,50,1200
25,0.8987929060333486,50,1250
26,0.8992530339126091,50,1300
27,0.9000793484790467,50,1350
28,0.9015582171465618,50,1400
29,0.9025622069674063,50,1450
30,0.9030362044654322,50,1500
31,0.9037882516387538,50,1550
32,0.9043100245676452,50,1600
33,0.904293155698628,50,1650
34,0.9047679324055624,50,1700
35,0.9051859532432853,50,1750
36,0.9055513155783979,50,1800
37,0.9056761929170631,50,1850
38,0.9059165913285038,50,1900
39,0.90598105885121,50,1950
40,0.9068056658838546,50,2000
41,0.9070118259746883,50,2050
42,0.9072070875012833,50,2100
43,0.907903500068445,50,2150
44,0.9063063215502525,50,2200
45,0.9064576092919182,50,2250
46,0.9067352014763056,50,2300
47,0.9073925293938103,50,2350
48,0.9079298362717538,50,2400
49,0.90772282840302,50,2450
50,0.9073650982721712,50,2500
51,0.9093236552785331,50,2550
52,0.9091568163365653,50,2600
53,0.9087520851616265,50,2650
54,0.9088760336473479,50,2700
55,0.9087687458645091,50,2750
56,0.9087366004139045,50,2800
57,0.909510975552485,50,2850
58,0.9098439762767032,50,2900
59,0.9094289805644862,50,2950
60,0.9099851051369884,50,3000
61,0.9095390681754099,50,3050
62,0.9095007674067632,50,3100
63,0.9096866565114747,50,3150
64,0.9085460797624588,50,3200
65,0.9091510221598442,50,3250
66,0.9088820863741593,50,3300
67,0.9085203174714637,50,3350
68,0.909003494510934,50,3400
69,0.9091554113820463,50,3450
70,0.908932751212054,50,3500
71,0.9092506007714561,50,3550
72,0.9100825429571373,50,3600
73,0.9096118190905214,50,3650
74,0.9096557034487396,50,3700
75,0.9102131385135187,50,3750
76,0.9103556729656406,50,3800
77,0.9101788588101078,50,3850
78,0.910211028898653,50,3900
79,0.9101576770901721,50,3950
80,0.9094887372684445,50,4000
81,0.9094874949456423,50,4050
82,0.9093904729578133,50,4100
83,0.9097128893441414,50,4150
84,0.9091184112314071,50,4200
85,0.9091171916092747,50,4250
86,0.9094676946966904,50,4300
87,0.9094958492939,50,4350
88,0.9093642946556207,50,4400
89,0.908888447287818,50,4450
90,0.9090101623375954,50,4500
91,0.9099141940090448,50,4550
92,0.9100587596994412,50,4600
93,0.910295170315267,50,4650
94,0.9106860898987956,50,4700
95,0.9100756960783409,50,4750
96,0.9096116885197097,50,4800
97,0.9101988026516463,50,4850
98,0.9095423495090482,50,4900
99,0.9084710359279999,50,4950
100,0.9087547324698558,50,5000
101,0.9087491916742448,50,5050
102,0.9092597918965104,50,5100
103,0.9095707876184781,50,5150
104,0.9094435545535269,50,5200
105,0.9098164035756803,50,5250
106,0.9103567191317796,50,5300
107,0.910609067319456,50,5350
108,0.9108920994312091,50,5400
109,0.9110431677663559,50,5450
110,0.9107663966521309,50,5500
111,0.9112707003433697,50,5550
112,0.9107495617196865,50,5600
113,0.9109030528969289,50,5650
114,0.9107956317920167,50,5700
115,0.9107218048430686,50,5750
116,0.9109544194441274,50,5800
117,0.911092521939232,50,5850
118,0.9110492796880258,50,5900
119,0.9108343637466477,50,5950
120,0.9107411560817993,50,6000
121,0.910936922409635,50,6050
122,0.9110213306134114,50,6100
123,0.910920621745437,50,6150
124,0.9106003461254897,50,6200
125,0.9112088462183353,50,6250
126,0.911336375597175,50,6300
127,0.9115668315788021,50,6350
128,0.9113726653034478,50,6400
129,0.9112842997408379,50,6450
130,0.9114694698555624,50,6500
131,0.9113502909992972,50,6550
132,0.9120924028884146,50,6600
133,0.9119991166598795,50,6650
134,0.9119275511427125,50,6700
135,0.9116647181567895,50,6750
136,0.9106294663950301,50,6800
137,0.9098020678272638,50,6850
138,0.9106988344777364,50,6900
139,0.911406923158868,50,6950
140,0.9114024815942874,50,7000
141,0.9113981362324549,50,7050
142,0.9116440130155031,50,7100
143,0.9123912148182507,50,7150
144,0.914146860804882,50,7200
145,0.9138472966941086,50,7250
146,0.9130381828922379,50,7300
147,0.9131663007923692,50,7350
148,0.9131717500367349,50,7400
149,0.9130188329061316,50,7450
150,0.9133914890905428,50,7500
151,0.913622249552031,50,7550
152,0.9142768317034454,50,7600
153,0.9140188315430167,50,7650
154,0.912895431921011,50,7700
155,0.9127890274413303,50,7750
156,0.9130443826201811,50,7800
157,0.9129506100610494,50,7850
158,0.9128952290713611,50,7900
159,0.9129677923538865,50,7950
160,0.9127961508269752,50,8000
161,0.9129949398663392,50,8050
