geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.6669436812984101,9,50
2,0.7416567377371067,14,100
3,0.7586150651411944,24,150
4,0.7819192397404555,30,200
5,0.7930036306166985,29,250
6,0.8095085649344279,28,300
7,0.824424209778115,34,350
8,0.8312090785213374,43,400
9,0.8369869435906859,44,450
10,0.8422502432654345,50,500
11,0.84721590738497,50,550
12,0.8505987256863958,50,600
13,0.8529154565538165,50,650
14,0.856599724807815,49,700
15,0.8653407125214199,50,750
16,0.8671858090243448,50,800
17,0.86894004086879,50,850
18,0.8707641075828487,50,900
19,0.8748822371564261,50,950
20,0.8792127182419565,50,1000
21,0.8797227243111843,50,1050
22,0.8823648625233886,50,1100
23,0.8833251740997606,50,1150
24,0.8855463016215868,50,1200
25,0.8881266751959318,50,1250
26,0.8887360731904861,50,1300
27,0.8913194322894216,50,1350
28,0.8914591287131974,50,1400
29,0.8943066625634003,50,1450
30,0.8955209703325903,50,1500
31,0.8964860615668407,50,1550
32,0.8977053293866942,50,1600
33,0.8981608930807919,50,1650
34,0.8990924571464085,50,1700
35,0.8985238281004515,50,1750
36,0.8987861162094339,50,1800
37,0.9010959743318607,50,1850
38,0.9014059036866325,50,1900
39,0.901910076215574,50,1950
40,0.9030033662201081,50,2000
41,0.9028862951588166,50,2050
42,0.9050582544875739,50,2100
43,0.9054445825764766,50,2150
44,0.9062306081339023,50,2200
45,0.9050913255973841,50,2250
46,0.9057869997255338,50,2300
47,0.9060796522491855,50,2350
48,0.9062764648361276,50,2400
49,0.9065127182094005,50,2450
50,0.9071856720803028,50,2500
51,0.9076336664668161,50,2550
52,0.907843109556352,50,2600
53,0.9083510456503027,50,2650
54,0.908561517832727,50,2700
55,0.9083862554701542,50,2750
56,0.9083129057970926,50,2800
57,0.9086515620847772,50,2850
58,0.9086501030572145,50,2900
59,0.9091651089559376,50,2950
60,0.9094911498440555,50,3000
61,0.9097692026398057,50,3050
62,0.9099369042531052,50,3100
63,0.9100025515330493,50,3150
64,0.9105476979261838,50,3200
65,0.9097562309641616,50,3250
66,0.9098683347114795,50,3300
67,0.9103908450660425,50,3350
68,0.9111156140902794,50,3400
69,0.9104942241819438,50,3450
70,0.9105215951340121,50,3500
71,0.9105654089931773,50,3550
72,0.9107520281979233,50,3600
73,0.9108956480019255,50,3650
74,0.910284393818083,50,3700
75,0.9116637575787456,50,3750
76,0.9114896968821702,50,3800
77,0.911610882419368,50,3850
78,0.9120159227727105,50,3900
79,0.9125342702325195,50,3950
80,0.9127048797872295,50,4000
81,0.9126756572951873,50,4050
82,0.9132136209806966,50,4100
83,0.9124991694383479,50,4150
84,0.9121218634233177,50,4200
85,0.912439492880344,50,4250
86,0.9123374574427057,50,4300
87,0.9129402819362825,50,4350
88,0.9129619529330636,50,4400
89,0.9126750405993338,50,4450
90,0.9118508583664727,50,4500
91,0.9119338382149625,50,4550
92,0.9122097134730756,50,4600
93,0.912888316194823,50,4650
94,0.9118757440120601,50,4700
95,0.9122294757176402,50,4750
96,0.912641003762822,50,4800
97,0.9123117349480462,50,4850
98,0.9129159030883919,50,4900
99,0.9113470651374546,50,4950
100,0.9119359339494032,50,5000
101,0.9122264005919787,50,5050
102,0.9127927490163625,50,5100
103,0.9129284909797752,50,5150
104,0.9128056269911018,50,5200
105,0.9132655081553117,50,5250
106,0.9136293633144256,50,5300
107,0.9141082937957229,50,5350
108,0.9139757406966238,50,5400
109,0.9144251096334535,50,5450
110,0.9145204343644538,50,5500
111,0.9146240866354141,50,5550
112,0.9143003995338564,50,5600
113,0.9141916257633991,50,5650
114,0.9146936448688029,50,5700
115,0.9146445933446133,50,5750
116,0.9151205590956518,50,5800
117,0.915233079392794,50,5850
118,0.9155206689903228,50,5900
119,0.9154006214091612,50,5950
120,0.9154374535802248,50,6000
121,0.9149160363976844,50,6050
122,0.915102824351862,50,6100
123,0.9147071561619594,50,6150
124,0.9147074139408518,50,6200
125,0.9153227801206568,50,6250
126,0.9154251901323234,50,6300
127,0.9141930256591368,50,6350
128,0.9141043214163859,50,6400
129,0.9143967000871678,50,6450
130,0.9144172484864539,50,6500
131,0.9145350192860345,50,6550
132,0.914263298236215,50,6600
133,0.9147848620136098,50,6650
134,0.9147705111612899,50,6700
135,0.9149008387089459,50,6750
136,0.9149645435835766,50,6800
137,0.9154007761719679,50,6850
138,0.9150552283705045,50,6900
139,0.9136801321290614,50,6950
140,0.9138266894649951,50,7000
141,0.9136294220781137,50,7050
142,0.9138655470534615,50,7100
143,0.9137680208429794,50,7150
144,0.9135662452401851,50,7200
145,0.9134193679856548,50,7250
146,0.9141481636275479,50,7300
147,0.9141734654638386,50,7350
148,0.9143995873135681,50,7400
149,0.9146285468555055,50,7450
150,0.9141541621613616,50,7500
151,0.9149829072246135,50,7550
152,0.9153144932267783,50,7600
153,0.9148541754328444,50,7650
154,0.9148628677488613,50,7700
155,0.9154125887800563,50,7750
156,0.9149280495104335,50,7800
157,0.9151299237991268,50,7850
158,0.91561152740773,50,7900
159,0.9155780062930597,50,7950
160,0.9159098479627792,50,8000
161,0.9156187405137021,50,8050
162,0.9160209062373236,50,8100
163,0.9158344391317363,50,8150
164,0.9159138241801277,50,8200
165,0.9162061437775788,50,8250
166,0.9159994425301337,50,8300
167,0.9156387004951156,50,8350
168,0.915302867560829,50,8400
169,0.916025630999551,50,8450
170,0.9161634740075625,50,8500
171,0.9165146998040438,50,8550
172,0.9164892094415145,50,8600
173,0.91618872653198,50,8650
174,0.9160293912231153,50,8700
175,0.9163811769825124,50,8750
176,0.9169785363816607,50,8800
177,0.9172427097375282,50,8850
178,0.9171043954568736,50,8900
179,0.9170204351963077,50,8950
180,0.9180210041585988,50,9000
181,0.9185136809314095,50,9050
182,0.9185077548193296,50,9100
183,0.9183357664244531,50,9150
184,0.9181040807721886,50,9200
185,0.9185418846272403,50,9250
186,0.9186811655215962,50,9300
187,0.9186271854116047,50,9350
188,0.9179267636164129,50,9400
189,0.9179261254730008,50,9450
190,0.9179916827277868,50,9500
191,0.9185004372999243,50,9550
192,0.9183829557753542,50,9600
193,0.9191131116342093,50,9650
194,0.9191745805587684,50,9700
195,0.9187930946917501,50,9750
196,0.9191201669239698,50,9800
197,0.9194605391395017,50,9850
198,0.919710403745547,50,9900
199,0.9198714676860357,50,9950
200,0.9191819798080437,50,10000
201,0.9190079601805864,50,10050
202,0.9184516261574537,50,10100
203,0.9189052715412744,50,10150
204,0.9188398867109218,50,10200
205,0.9195684418020111,50,10250
206,0.9199162159320271,50,10300
207,0.9198618767745095,50,10350
208,0.9201125375817848,50,10400
209,0.9195298253547892,50,10450
210,0.9197054594846285,50,10500
211,0.9198914331399909,50,10550
212,0.919633670763718,50,10600
213,0.9199835679077437,50,10650
214,0.9194191155623411,50,10700
215,0.9199160461152702,50,10750
216,0.9192731061636517,50,10800
217,0.9192981023998269,50,10850
218,0.9197493123901553,50,10900
219,0.919989091632889,50,10950
220,0.920113623714433,50,11000
221,0.9196194457833913,50,11050
222,0.9196618346083244,50,11100
