geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.8233522138501301,7,50
2,0.8522318288595296,13,100
3,0.8847132451458184,20,150
4,0.9282035839501017,27,200
5,0.9678800878159184,36,250
6,0.9719901119235439,37,300
7,0.9734186145674181,44,350
8,0.9924576920314858,44,400
9,0.9931938628038466,49,450
10,1.0165349029067157,50,500
11,1.0167884297011396,50,550
12,1.0209360884409162,50,600
13,1.021596520757093,50,650
14,1.0225758487783445,50,700
15,1.023573011448766,50,750
16,1.0267429238771881,50,800
17,1.0394748755380716,50,850
18,1.040137732456261,50,900
19,1.0409008205359886,50,950
20,1.0416140939479825,50,1000
21,1.0419168400799819,50,1050
22,1.042866062596481,50,1100
23,1.0432474060579884,50,1150
24,1.0457659082498356,50,1200
25,1.0476019398852545,50,1250
26,1.0476230671216544,50,1300
27,1.0478400523543594,50,1350
28,1.0503115104316838,50,1400
29,1.0518130523448705,50,1450
30,1.0536137821608502,50,1500
31,1.054154337844995,50,1550
32,1.0562268822178986,50,1600
33,1.0561103205141436,50,1650
34,1.0559646816199668,50,1700
35,1.0564155597870846,50,1750
36,1.057083721746159,50,1800
37,1.057455104919066,50,1850
38,1.0576099804430148,50,1900
39,1.0583258455565128,50,1950
40,1.0588137435427805,50,2000
41,1.0589992307020824,50,2050
42,1.0592642641032495,50,2100
43,1.0598987362593049,50,2150
44,1.059952977254249,50,2200
45,1.0601209918270766,50,2250
46,1.0610368874842953,50,2300
47,1.060998631632294,50,2350
48,1.061562027420624,50,2400
49,1.0617311165704937,50,2450
50,1.0616103719769108,50,2500
51,1.0614496695292355,50,2550
52,1.062208314360871,50,2600
53,1.0624105377262003,50,2650
54,1.0616567144506404,50,2700
55,1.062269355136167,50,2750
56,1.0622457227242552,50,2800
57,1.062807036239108,50,2850
58,1.0636223578621729,50,2900
59,1.0639571037758047,50,2950
60,1.0640965461398544,50,3000
61,1.0640795310742532,50,3050
62,1.0639685991111782,50,3100
63,1.063991826732379,50,3150
64,1.0640897992666238,50,3200
65,1.0634765906190695,50,3250
66,1.0630780376054536,50,3300
67,1.0626738309927044,50,3350
68,1.0635605390335834,50,3400
69,1.0637571415097191,50,3450
70,1.0641129066676696,50,3500
71,1.064053063499328,50,3550
72,1.0643861785879585,50,3600
73,1.0644540640640687,50,3650
74,1.0647795492198169,50,3700
75,1.0654234881180318,50,3750
76,1.0654483611400904,50,3800
77,1.065210123100567,50,3850
78,1.0647900064219455,50,3900
79,1.0650956206877236,50,3950
80,1.0644542320413755,50,4000
81,1.0647681050022846,50,4050
82,1.0650185684042115,50,4100
83,1.064735137602265,50,4150
84,1.064405871750826,50,4200
85,1.0650458307725377,50,4250
86,1.065397957329495,50,4300
87,1.0658275141055753,50,4350
88,1.065721451965198,50,4400
89,1.0660395624319217,50,4450
90,1.0664097120457012,50,4500
91,1.066325361474764,50,4550
92,1.0666774051808938,50,4600
93,1.066931755046632,50,4650
94,1.06708307124294,50,4700
95,1.0671840821904686,50,4750
96,1.0666858992107138,50,4800
97,1.0664237871271431,50,4850
98,1.0667796842645738,50,4900
99,1.066521406459761,50,4950
100,1.0669866420919882,50,5000
101,1.0675598086008795,50,5050
102,1.0677498636587888,50,5100
103,1.06769343166298,50,5150
104,1.0686114736307364,50,5200
105,1.068484930559326,50,5250
106,1.068105973006595,50,5300
107,1.0678547131522778,50,5350
108,1.0676548446151481,50,5400
109,1.0677708827783658,50,5450
110,1.0680171104922878,50,5500
111,1.0668886752363727,50,5550
112,1.066818853602303,50,5600
113,1.0674313396499642,50,5650
114,1.0682037370742585,50,5700
115,1.068276742513593,50,5750
116,1.0687477211493979,50,5800
117,1.0688826804757272,50,5850
118,1.068263239387832,50,5900
119,1.068256434429037,50,5950
120,1.0670997341980744,50,6000
121,1.0667254020085635,50,6050
122,1.0678043452918862,50,6100
123,1.067817857051501,50,6150
124,1.0677478026670193,50,6200
125,1.0678466921250185,50,6250
126,1.0679753096562188,50,6300
127,1.0675532629128632,50,6350
128,1.0673743261583526,50,6400
129,1.0674588230046629,50,6450
130,1.0682373050274858,50,6500
131,1.068725278412319,50,6550
132,1.068777003826145,50,6600
133,1.068954369782939,50,6650
134,1.068785536324963,50,6700
135,1.0690498342901011,50,6750
136,1.068726100550278,50,6800
137,1.068870877681084,50,6850
138,1.068785511665969,50,6900
139,1.0689493022685774,50,6950
140,1.068717543327717,50,7000
141,1.0689676898665186,50,7050
142,1.0689814804816087,50,7100
143,1.068548020092266,50,7150
144,1.0684182124642279,50,7200
145,1.0687555828561262,50,7250
146,1.0688295458614803,50,7300
147,1.0683635401349556,50,7350
148,1.0679475009806103,50,7400
149,1.067617184853688,50,7450
150,1.0674900773825098,50,7500
151,1.0680075027587435,50,7550
152,1.067315973149587,50,7600
153,1.0675673425042123,50,7650
154,1.067426517441436,50,7700
155,1.0688998153927571,50,7750
156,1.0687619913971944,50,7800
157,1.0688701889912493,50,7850
158,1.0692332632841086,50,7900
159,1.0692689049893789,50,7950
160,1.0692213986419075,50,8000
161,1.0693822841342229,50,8050
162,1.06968432965952,50,8100
163,1.0697378362822374,50,8150
164,1.0696582921651265,50,8200
165,1.0703113622352831,50,8250
166,1.070611394061005,50,8300
167,1.0705165216261552,50,8350
168,1.0701964055849493,50,8400
169,1.0703864118385575,50,8450
170,1.0702336181718364,50,8500
171,1.0699866726493241,50,8550
172,1.0700973848936746,50,8600
173,1.070467432378661,50,8650
174,1.0703174442721837,50,8700
175,1.0703486651700787,50,8750
176,1.0704298428743282,50,8800
177,1.0708522304820307,50,8850
178,1.0710113872261586,50,8900
179,1.0711864030034735,50,8950
180,1.0709386679882549,50,9000
181,1.0711240147313748,50,9050
182,1.0714025702401122,50,9100
183,1.0715454281268264,50,9150
184,1.0715584410704697,50,9200
185,1.0715980703177337,50,9250
186,1.0719468429270629,50,9300
187,1.071010816511697,50,9350
188,1.0713038814404163,50,9400
189,1.0711352499750817,50,9450
190,1.0707877332966755,50,9500
191,1.071348388848887,50,9550
192,1.0713642776616277,50,9600
193,1.0707509175703582,50,9650
194,1.0704039367057194,50,9700
195,1.0703269862954834,50,9750
196,1.0705901320252968,50,9800
197,1.0694626183235691,50,9850
198,1.0699678289577836,50,9900
199,1.0704130804303549,50,9950
200,1.0705462561163825,50,10000
201,1.070595279466493,50,10050
202,1.0710080996215399,50,10100
203,1.071503197215655,50,10150
204,1.071365561332134,50,10200
205,1.071685294896675,50,10250
206,1.0716574325308281,50,10300
207,1.071608928313178,50,10350
208,1.0716258837065582,50,10400
209,1.0713358720344686,50,10450
210,1.0707998628348443,50,10500
211,1.0703077468112898,50,10550
212,1.070883511523178,50,10600
213,1.0713952509575697,50,10650
214,1.0711719356014515,50,10700
215,1.0715387402607723,50,10750
216,1.0717850750961149,50,10800
217,1.0723224743276354,50,10850
218,1.0726671877737604,50,10900
219,1.0726692228821046,50,10950
220,1.0727504516916566,50,11000
221,1.0728684530769872,50,11050
222,1.0733084570936136,50,11100
223,1.0732537951550658,50,11150
224,1.0735838284834534,50,11200
225,1.0728516076655548,50,11250
226,1.0734065370280994,50,11300
227,1.073613216079011,50,11350
228,1.073459661658834,50,11400
229,1.0736914581844834,50,11450
230,1.073962776965307,50,11500
231,1.0738341718084008,50,11550
232,1.074196606068848,50,11600
233,1.074467021165129,50,11650
234,1.0740034672728174,50,11700
235,1.0742853210919308,50,11750
236,1.0739081884512442,50,11800
237,1.0739009578951708,50,11850
238,1.0744319542359642,50,11900
239,1.0743916104868658,50,11950
240,1.0745429888053097,50,12000
241,1.0743024657293683,50,12050
242,1.0744427458688932,50,12100
243,1.0740789164018942,50,12150
244,1.074444793080439,50,12200
245,1.073193687388667,50,12250
246,1.073641194508231,50,12300
247,1.073601106246377,50,12350
248,1.0737991389340287,50,12400
249,1.073883787255327,50,12450
250,1.073625894790377,50,12500
251,1.0733833727918314,50,12550
252,1.0737283410228056,50,12600
253,1.0740209065484279,50,12650
254,1.074179392089465,50,12700
255,1.0740537508723709,50,12750
256,1.0740481906988375,50,12800
257,1.074217225753462,50,12850
258,1.0738975769799,50,12900
259,1.0740617083362725,50,12950
260,1.0742256524732876,50,13000
261,1.0741602281010374,50,13050
262,1.0744905076999522,50,13100
263,1.0743688386814911,50,13150
264,1.0739619092777737,50,13200
265,1.0740699821877076,50,13250
266,1.0746277815763838,50,13300
267,1.074688245880907,50,13350
268,1.0739735328861768,50,13400
269,1.073629099815827,50,13450
270,1.0736373751715178,50,13500
271,1.073929523510093,50,13550
272,1.0741538598448255,50,13600
273,1.0740651946596826,50,13650
274,1.0740465453478483,50,13700
275,1.0738886062762403,50,13750
276,1.073694391494645,50,13800
277,1.0729337098426952,50,13850
278,1.0733201514457937,50,13900
279,1.0736292885915013,50,13950
280,1.0737662783392674,50,14000
281,1.0733928899512815,50,14050
282,1.07355026687843,50,14100
283,1.0730491659175119,50,14150
284,1.0733667540033658,50,14200
285,1.0733404648503855,50,14250
286,1.0735943886497819,50,14300
287,1.073996844048887,50,14350
288,1.0741044237796655,50,14400
289,1.0742278863775405,50,14450
290,1.0742129702075949,50,14500
291,1.073748245076117,50,14550
292,1.0739304668194147,50,14600
293,1.0740268483813675,50,14650
294,1.0740090551814363,50,14700
295,1.074177165474107,50,14750
296,1.0743747998076185,50,14800
297,1.0747239066628396,50,14850
298,1.074622479098178,50,14900
299,1.074669610581832,50,14950
300,1.0746384819295376,50,15000
