geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.8695056047797015,12,50
2,0.9205585051671884,17,100
3,0.9260905591873487,31,150
4,0.947225536944742,42,200
5,0.9556215052249607,50,250
6,0.9683612506332788,49,300
7,0.9736986774718348,46,350
8,0.9820501453781559,49,400
9,0.9879694744957833,50,450
10,0.991562877953295,50,500
11,0.9926540583395839,50,550
12,0.99423217495989,50,600
13,0.9986392497192379,50,650
14,1.0022734731760896,50,700
15,1.0080219119348273,50,750
16,1.0153094715511517,50,800
17,1.0159924696594822,50,850
18,1.0186246834514148,50,900
19,1.019976361667182,50,950
20,1.02143103286351,50,1000
21,1.023031092092701,50,1050
22,1.024539440367332,50,1100
23,1.0256764964354401,50,1150
24,1.0262589393188175,50,1200
25,1.0274937393960493,50,1250
26,1.0281153268089294,50,1300
27,1.028547085953161,50,1350
28,1.02929796022776,50,1400
29,1.0298693912572134,50,1450
30,1.0300724496174098,50,1500
31,1.0306655066639687,50,1550
32,1.0310327819357668,50,1600
33,1.0312485033582361,50,1650
34,1.0315568691343069,50,1700
35,1.0319660681935372,50,1750
36,1.0321713685659504,50,1800
37,1.0327030891853695,50,1850
38,1.0329019553656564,50,1900
39,1.0337900953982313,50,1950
40,1.0337574540502696,50,2000
41,1.034758910286593,50,2050
42,1.0347968746512146,50,2100
43,1.0347208921563236,50,2150
44,1.0348958709455423,50,2200
45,1.0349897814261049,50,2250
46,1.0353450066340022,50,2300
47,1.0360153181798095,50,2350
48,1.0356490093549575,50,2400
49,1.0368327690340045,50,2450
50,1.0370575739895542,50,2500
51,1.037342110125244,50,2550
52,1.0377853585859085,50,2600
53,1.0383235877785917,50,2650
54,1.038964177117756,50,2700
55,1.0391729409159742,50,2750
56,1.0394562203152191,50,2800
57,1.0396242250886985,50,2850
58,1.0402911362053122,50,2900
59,1.0404745062323233,50,2950
60,1.041087190521943,50,3000
61,1.0410456962713566,50,3050
62,1.0408709546618633,50,3100
63,1.0408915694085097,50,3150
64,1.0409025308612758,50,3200
65,1.0405379309046356,50,3250
66,1.0407242485123582,50,3300
67,1.0401874709471122,50,3350
68,1.0399375203681822,50,3400
69,1.0398305603796592,50,3450
70,1.039896808831696,50,3500
71,1.040266421547827,50,3550
72,1.0403024830440943,50,3600
73,1.0405272693180403,50,3650
74,1.0405714879036354,50,3700
75,1.04095618312725,50,3750
76,1.041090892551129,50,3800
77,1.0407848951365812,50,3850
78,1.0411668656729147,50,3900
79,1.0408443088432382,50,3950
80,1.0412927563561825,50,4000
81,1.0408395477866863,50,4050
82,1.0409917224046887,50,4100
83,1.040925627935778,50,4150
84,1.041673062861347,50,4200
85,1.0417390805887383,50,4250
86,1.0415477963201871,50,4300
87,1.0415766435081353,50,4350
88,1.0415112520354923,50,4400
89,1.041730966936595,50,4450
90,1.0415202069980247,50,4500
91,1.0415381615218138,50,4550
92,1.0420520755614078,50,4600
93,1.0424382035829005,50,4650
94,1.042404554584992,50,4700
95,1.0424771075088735,50,4750
96,1.0425520521011815,50,4800
97,1.0422249074589969,50,4850
98,1.0422784416770097,50,4900
99,1.0423285152568802,50,4950
100,1.0426309420291162,50,5000
101,1.042339258215913,50,5050
102,1.0425355610593037,50,5100
103,1.042526057889108,50,5150
104,1.0425288769996597,50,5200
105,1.0418834393007503,50,5250
106,1.0425153874658635,50,5300
107,1.0425729222740574,50,5350
108,1.0422874926063501,50,5400
109,1.0427086787104067,50,5450
110,1.0426190647857057,50,5500
111,1.0422142161490837,50,5550
112,1.0425861947365223,50,5600
113,1.0423844853001387,50,5650
114,1.0425401132472683,50,5700
115,1.0426909399414475,50,5750
116,1.0424967073503164,50,5800
117,1.0424919863216255,50,5850
118,1.0428574909120683,50,5900
119,1.0427899548156245,50,5950
120,1.0428444390310363,50,6000
121,1.0432186735199898,50,6050
122,1.0436268993533762,50,6100
123,1.0431892312885738,50,6150
124,1.0431903518943717,50,6200
125,1.0417969883759013,50,6250
126,1.0424036478967609,50,6300
127,1.0416373861692916,50,6350
128,1.0416888743253707,50,6400
129,1.0423291123973186,50,6450
130,1.0420528619043008,50,6500
131,1.0423265453062314,50,6550
132,1.0423508177005643,50,6600
133,1.0424842662480553,50,6650
134,1.0417810637388323,50,6700
135,1.0423874706999463,50,6750
136,1.042491626773031,50,6800
137,1.042596053302751,50,6850
138,1.042595737282126,50,6900
139,1.0425858904897005,50,6950
140,1.0424112463177968,50,7000
141,1.0418407390799784,50,7050
142,1.0417097894368712,50,7100
143,1.041504365642232,50,7150
144,1.0419151794501502,50,7200
145,1.0421722454851514,50,7250
146,1.0414961059752545,50,7300
147,1.0418055351366466,50,7350
148,1.042117210145094,50,7400
149,1.0416689119606817,50,7450
150,1.0420341899625551,50,7500
151,1.0414316308379552,50,7550
152,1.0414088869667706,50,7600
153,1.0412906875242087,50,7650
154,1.0410616427354367,50,7700
155,1.0409125483405604,50,7750
156,1.040919067006975,50,7800
157,1.0410546513359749,50,7850
158,1.041440511957915,50,7900
159,1.041638601231838,50,7950
160,1.0417930295584523,50,8000
161,1.0419568652012445,50,8050
162,1.0424620538830676,50,8100
163,1.0427512232521905,50,8150
164,1.043113752378545,50,8200
165,1.0421445085602024,50,8250
166,1.0418562354807137,50,8300
167,1.042090373264264,50,8350
168,1.0423188035160735,50,8400
169,1.0422131689471963,50,8450
170,1.042835192737267,50,8500
171,1.0431142425070614,50,8550
172,1.041657057854786,50,8600
173,1.0421167682724009,50,8650
174,1.0424317530396046,50,8700
175,1.0429625243001153,50,8750
176,1.0426906995979053,50,8800
177,1.0430317065748804,50,8850
178,1.0432705734829946,50,8900
179,1.0434558618001,50,8950
180,1.0433043687100094,50,9000
181,1.0428017426376854,50,9050
182,1.042770388477144,50,9100
183,1.0432539714671702,50,9150
184,1.0435004105390553,50,9200
185,1.0431502736682667,50,9250
186,1.0435168778078552,50,9300
187,1.0432305993398276,50,9350
188,1.0430904382885298,50,9400
189,1.043154165840257,50,9450
190,1.0429792553201744,50,9500
191,1.0432336112377332,50,9550
192,1.0430706167757287,50,9600
193,1.0433291658945891,50,9650
194,1.0433064606914388,50,9700
195,1.0433864761456582,50,9750
196,1.04344125130157,50,9800
197,1.0432990328901524,50,9850
198,1.0429851917786286,50,9900
199,1.0427708944605891,50,9950
200,1.0428648226242694,50,10000
201,1.0432890120369531,50,10050
202,1.0432188745570872,50,10100
203,1.0431246632588511,50,10150
204,1.0432372725954715,50,10200
205,1.0433077381823121,50,10250
206,1.043205716516323,50,10300
207,1.0432793708867814,50,10350
208,1.043321686746768,50,10400
209,1.0429416305639345,50,10450
210,1.0428349963982437,50,10500
211,1.0423656900193627,50,10550
212,1.0429389965018152,50,10600
213,1.0429791305764577,50,10650
214,1.0426010249965334,50,10700
215,1.0425856889019753,50,10750
216,1.0427600000330324,50,10800
217,1.0426161749895426,50,10850
218,1.0429416198401478,50,10900
219,1.0427088017434825,50,10950
220,1.0420586941257204,50,11000
221,1.0420363203405223,50,11050
222,1.0420707365672004,50,11100
223,1.0421629307438562,50,11150
224,1.0426141730147909,50,11200
225,1.0428435860746088,50,11250
226,1.0430036698247604,50,11300
227,1.0431145848418897,50,11350
228,1.0431058988336803,50,11400
229,1.0429505527773744,50,11450
230,1.0430247018754413,50,11500
231,1.043455172637635,50,11550
232,1.0432571315730599,50,11600
233,1.0433305104650443,50,11650
234,1.043165690895688,50,11700
235,1.04362504375467,50,11750
236,1.04351895354784,50,11800
237,1.042030559612374,50,11850
238,1.0423094278001588,50,11900
239,1.0414418001201002,50,11950
240,1.0411484162468068,50,12000
241,1.0410119552583617,50,12050
242,1.0406719562880045,50,12100
243,1.0415315811570307,50,12150
244,1.042073010342521,50,12200
245,1.0420006220608806,50,12250
246,1.042232425948835,50,12300
247,1.0420542372908337,50,12350
248,1.0429348035395272,50,12400
249,1.043060590138004,50,12450
250,1.0429304736494038,50,12500
251,1.0430086147823643,50,12550
252,1.0429012152395836,50,12600
253,1.0434066317721649,50,12650
254,1.0433452890884207,50,12700
255,1.0431501967353038,50,12750
256,1.0437299461005962,50,12800
257,1.044077509134992,50,12850
258,1.0440980097856756,50,12900
259,1.0437368825711497,50,12950
260,1.0434065281777116,50,13000
261,1.043300837591227,50,13050
262,1.043158911715808,50,13100
