geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.8658497816044838,13,50
2,0.9023581261550214,17,100
3,0.9134332019592492,27,150
4,0.9205084557311467,31,200
5,0.9310684230879813,40,250
6,0.9414104384122446,42,300
7,0.9480281023363111,47,350
8,0.9519463262131017,50,400
9,0.954597263561396,50,450
10,0.9604297920295364,50,500
11,0.9648338450220009,50,550
12,0.9694244669604482,50,600
13,0.971606378986144,50,650
14,0.9744160121132143,50,700
15,0.9764385129206504,50,750
16,0.9770202944720879,50,800
17,0.9799381892997131,50,850
18,0.982047240548773,50,900
19,0.9823725074426923,50,950
20,0.9826143626677325,50,1000
21,0.9827531910460927,50,1050
22,0.9841395536266112,50,1100
23,0.985538636972321,50,1150
24,0.9864606542425354,50,1200
25,0.9866831346185148,50,1250
26,0.9875825340648362,50,1300
27,0.9876614712162769,50,1350
28,0.9880481709723441,50,1400
29,0.9877359555884175,50,1450
30,0.9880974025887593,50,1500
31,0.9885523012557678,50,1550
32,0.9896175196297303,50,1600
33,0.9898545989995786,50,1650
34,0.9895249764483369,50,1700
35,0.9900103781228159,50,1750
36,0.9901367971181814,50,1800
37,0.990315766157311,50,1850
38,0.9901564310235265,50,1900
39,0.9879927164608598,50,1950
40,0.988842907159518,50,2000
41,0.9888926468756329,50,2050
42,0.9908342285174988,50,2100
43,0.9907830675357113,50,2150
44,0.991130342220667,50,2200
45,0.991268254753665,50,2250
46,0.9912034944158773,50,2300
47,0.989410461520323,50,2350
48,0.9896979492322631,50,2400
49,0.990639822184283,50,2450
50,0.9910325503952179,50,2500
51,0.9910421327120723,50,2550
52,0.9913652329259777,50,2600
53,0.9918596354158614,50,2650
54,0.9916178106723053,50,2700
55,0.9915900573563217,50,2750
56,0.9920231241310062,50,2800
57,0.9921150470395186,50,2850
58,0.9923372813918704,50,2900
59,0.9926819201062191,50,2950
60,0.9928480561511419,50,3000
61,0.9927884450943317,50,3050
62,0.9917599769491258,50,3100
63,0.9922645874969078,50,3150
64,0.9925291254325439,50,3200
65,0.9925989169753711,50,3250
66,0.9929142434781902,50,3300
67,0.9935007442644627,50,3350
68,0.9937453576472547,50,3400
69,0.9936679920854868,50,3450
70,0.9936303164037982,50,3500
71,0.9942109247091714,50,3550
72,0.9942858008639932,50,3600
73,0.9941199381309408,50,3650
74,0.9939456076869568,50,3700
75,0.994259130911735,50,3750
76,0.9943701636966503,50,3800
77,0.9939534288520716,50,3850
78,0.9941516987320733,50,3900
79,0.9940988432099067,50,3950
80,0.9939755193508596,50,4000
81,0.994091504520002,50,4050
82,0.9945569450832245,50,4100
83,0.9941150254102413,50,4150
84,0.9950673281205861,50,4200
85,0.9949986546880498,50,4250
86,0.994640126511406,50,4300
87,0.9946700102662508,50,4350
88,0.9949603070439038,50,4400
89,0.9954592207941064,50,4450
90,0.9954620208626879,50,4500
91,0.9949588925114727,50,4550
92,0.9953342690825964,50,4600
93,0.9944617010988738,50,4650
94,0.9947522782261131,50,4700
95,0.9949664741329188,50,4750
96,0.9960128008851175,50,4800
97,0.9960303801556162,50,4850
98,0.995947034176187,50,4900
99,0.9960531650050698,50,4950
100,0.9959704049192637,50,5000
101,0.9952609015815563,50,5050
102,0.9954961072048653,50,5100
103,0.9958433294493266,50,5150
104,0.995734941619329,50,5200
105,0.9955508689203446,50,5250
106,0.9956404276360497,50,5300
107,0.9954589561496446,50,5350
108,0.9958748446246065,50,5400
109,0.9957721779642885,50,5450
110,0.996001055818812,50,5500
111,0.9955340218245888,50,5550
112,0.9955383053847687,50,5600
113,0.996070142465422,50,5650
114,0.9956929182374735,50,5700
115,0.9954516846157705,50,5750
116,0.9959628921964285,50,5800
117,0.9960743497521107,50,5850
118,0.9964990602299538,50,5900
119,0.9965133725374454,50,5950
120,0.9970983349187047,50,6000
121,0.996282054273551,50,6050
122,0.996230924212088,50,6100
123,0.9969850948444464,50,6150
124,0.9969745764728107,50,6200
125,0.9972457977907929,50,6250
126,0.9966798860365493,50,6300
127,0.9969385313762104,50,6350
128,0.9969516748837455,50,6400
129,0.9968871768266,50,6450
130,0.9973201313236738,50,6500
131,0.9973288882728156,50,6550
132,0.9969147021349573,50,6600
133,0.996965861971461,50,6650
134,0.99729418761683,50,6700
135,0.9970739294601799,50,6750
136,0.9972307991129608,50,6800
137,0.9964479325014366,50,6850
138,0.9967112380830805,50,6900
139,0.9970100557815607,50,6950
140,0.9972878389729182,50,7000
141,0.9971594336283114,50,7050
142,0.9969233684675121,50,7100
143,0.9967168159977131,50,7150
144,0.9963700778549774,50,7200
145,0.9964464813186592,50,7250
146,0.9958621967570738,50,7300
147,0.9958446926951414,50,7350
148,0.9954070838085058,50,7400
149,0.995847089168815,50,7450
150,0.9960231368260062,50,7500
151,0.996536551051377,50,7550
152,0.9966388947477999,50,7600
153,0.9971197211457407,50,7650
154,0.9964256403688516,50,7700
155,0.9960855981150806,50,7750
156,0.9959229348900779,50,7800
157,0.9961550303482825,50,7850
158,0.9962506639747927,50,7900
159,0.9962501092003659,50,7950
160,0.9963137843733907,50,8000
161,0.9967411960939822,50,8050
162,0.9966352972633408,50,8100
163,0.9968910416785718,50,8150
164,0.9965985167313725,50,8200
165,0.9965020661461119,50,8250
166,0.9967157124173198,50,8300
167,0.9972829137767583,50,8350
168,0.9970842946952801,50,8400
169,0.9962777769723647,50,8450
170,0.9960970107471452,50,8500
171,0.9957433646448651,50,8550
172,0.9959809040891987,50,8600
173,0.9959500356244831,50,8650
174,0.9959870801584961,50,8700
175,0.9959931793869442,50,8750
176,0.996472708864328,50,8800
177,0.9958140561264522,50,8850
178,0.9959148285518304,50,8900
179,0.9958677657034213,50,8950
180,0.995921730549714,50,9000
181,0.9959966819437428,50,9050
182,0.9959655969928729,50,9100
183,0.9960257366242914,50,9150
184,0.996764712590356,50,9200
185,0.997085277410986,50,9250
186,0.9969610344137458,50,9300
187,0.9959120881212783,50,9350
188,0.996378530230702,50,9400
189,0.9966758382005597,50,9450
190,0.996910565829483,50,9500
191,0.996973923412535,50,9550
192,0.9970626075521543,50,9600
193,0.9971026390078841,50,9650
194,0.9973416899667865,50,9700
195,0.9974244007309088,50,9750
196,0.9972313413455536,50,9800
197,0.9969178551537837,50,9850
198,0.9970922963191786,50,9900
199,0.9966138471496697,50,9950
200,0.9963569726557554,50,10000
201,0.9955130059812799,50,10050
202,0.9950712050083053,50,10100
203,0.9951572918662673,50,10150
204,0.9952424258118026,50,10200
205,0.9953295705426025,50,10250
206,0.995995332677025,50,10300
207,0.9958071876298341,50,10350
208,0.9954065221061454,50,10400
209,0.996256895358783,50,10450
210,0.996283830865453,50,10500
211,0.9965140713342721,50,10550
212,0.9971571063406269,50,10600
213,0.9971379153365528,50,10650
214,0.99677012748414,50,10700
215,0.9968637861782043,50,10750
216,0.9971312614804859,50,10800
217,0.9972996732677947,50,10850
218,0.9973314866367469,50,10900
219,0.9973460228679581,50,10950
220,0.9972575222775837,50,11000
221,0.9970567538951407,50,11050
222,0.9968067842906183,50,11100
223,0.9966174412373419,50,11150
224,0.9966376548992484,50,11200
225,0.9958492789317561,50,11250
226,0.9959649095387214,50,11300
227,0.9959072781984759,50,11350
228,0.9955610218622813,50,11400
229,0.995957337815884,50,11450
230,0.9959996929677218,50,11500
231,0.9955073268197787,50,11550
232,0.995015243030958,50,11600
233,0.9950295412595905,50,11650
234,0.9948965200282852,50,11700
235,0.9947676726013633,50,11750
236,0.9948277017379775,50,11800
237,0.9942522771371668,50,11850
238,0.9949128612382302,50,11900
239,0.9947316247657731,50,11950
240,0.9947657649460242,50,12000
241,0.9955367580500047,50,12050
242,0.9948207717321308,50,12100
243,0.9957807419192785,50,12150
244,0.9956569253677839,50,12200
245,0.9949739170999513,50,12250
246,0.9956208098443631,50,12300
247,0.9961641809211128,50,12350
248,0.9955291224792641,50,12400
