X_0	X_1	X_2	R_0	R_1	R_2	S_0	S_1	S_2	G_0	G_1	G_2	I_0	I_1	I_2
21680.074192227865	46.4070399851402	0.9978212237452191	137.7308806097166	268.79621808861015	393.1960124366807	0.23203519992570104	0.23203519992570104	0.23203519992570104	137.4988454097909	268.56418288868446	392.963977236755	0.0	0.0	0.0
28416.880285847037	47.59656153668163	1.0001557729077406	138.83910997179896	272.5690573120817	401.1898420208483	0.23798280768340818	0.23798280768340818	0.23798280768340818	138.60112716411555	272.3310745043983	400.9518592131649	0.0	0.0	0.0
20919.837858168084	45.6080549124648	1.0012573014734794	138.07170180795544	269.1879747922216	393.3488189527985	0.22804027456232406	0.22804027456232406	0.22804027456232406	137.84366153339312	268.9599345176593	393.1207786782362	0.0	0.0	0.0
24631.95753895588	47.68766940006433	1.0020896339496765	138.70856077624458	271.50007420204736	398.37454027740824	0.23843834700032168	0.23843834700032168	0.23843834700032168	138.47012242924427	271.261635855047	398.1361019304079	0.0	0.0	0.0
23115.916395312157	46.28292469404483	1.003909382932256	138.7603288374305	271.19262454363655	397.29688711861826	0.2314146234702242	0.2314146234702242	0.2314146234702242	138.5289142139603	270.9612099201663	397.065472495148	0.0	0.0	0.0
27897.85370226246	46.25433029006989	0.9934751996203727	137.88178501402706	270.6286450775167	398.2405801904689	0.23127165145034947	0.23127165145034947	0.23127165145034947	137.6505133625767	270.39737342606634	398.00930853901855	0.0	0.0	0.0
22273.83684501403	46.03820519242359	0.9948621189102496	137.42060169532306	268.39176961200286	392.9135037500394	0.230191025962118	0.230191025962118	0.230191025962118	137.19041066936094	268.1615785860407	392.68331272407727	0.0	0.0	0.0
15571.77722103314	47.01631718184021	0.9936587162076993	135.8737156745132	262.54447962683116	380.0122918569539	0.23508158590920109	0.23508158590920109	0.23508158590920109	135.638634088604	262.30939804092196	379.7772102710447	0.0	0.0	0.0
22952.289062414115	49.158027785015385	1.0002445882352802	138.24289720761263	270.1590943130891	395.74859131642944	0.24579013892507698	0.24579013892507698	0.24579013892507698	137.99710706868754	269.913304174164	395.50280117750435	0.0	0.0	0.0
21553.099971345007	46.85337536734861	1.0006323568291227	138.08974518971291	269.4368472545766	394.04130619459096	0.2342668768367431	0.2342668768367431	0.2342668768367431	137.85547831287616	269.2025803777399	393.80703931775423	0.0	0.0	0.0
25586.399471076296	45.84157386442702	1.001453452598835	138.7325988861909	271.7761026810666	399.130511384627	0.22920786932213513	0.22920786932213513	0.22920786932213513	138.5033910168688	271.5468948117445	398.9013035153049	0.0	0.0	0.0
23970.076782457218	47.4915082199518	0.9961239344305365	137.81957742453818	269.63090259567866	395.4339755134215	0.23745754109975903	0.23745754109975903	0.23745754109975903	137.58211988343842	269.3934450545789	395.1965179723217	0.0	0.0	0.0
28955.366061792512	49.21345127855615	1.008849889553345	140.07194332038486	275.0421871379298	404.91073145263465	0.2460672563927808	0.2460672563927808	0.2460672563927808	139.82587606399207	274.796119881537	404.66466419624186	0.0	0.0	0.0
23831.759953868943	47.229349244187496	1.0033057995114145	138.7737272319576	271.4168773134119	397.9294502443629	0.23614674622093754	0.23614674622093754	0.23614674622093754	138.53758048573667	271.18073056719095	397.693303498142	0.0	0.0	0.0
23559.403672819342	46.90771821112193	1.0026749026143214	138.65299866041605	271.11234492238293	397.3780387859007	0.2345385910556097	0.2345385910556097	0.2345385910556097	138.41846006936044	270.87780633132735	397.1435001948451	0.0	0.0	0.0
